,site,Cause of death,Times word_asthma is mentioned.
75,Mexico,Epilepsy,0.0
76,Pemba,Epilepsy,
77,UP,Epilepsy,0.0
78,AP,Esophageal Cancer,0.0
79,Bohol,Esophageal Cancer,0.0
80,Dar,Esophageal Cancer,0.0
81,Mexico,Esophageal Cancer,
82,Pemba,Esophageal Cancer,
83,UP,Esophageal Cancer,
84,AP,Falls,1.0
85,Bohol,Falls,1.0
86,Dar,Falls,0.0
87,Mexico,Falls,0.0
88,Pemba,Falls,0.0
89,UP,Falls,0.0
90,AP,Fires,0.0
91,Bohol,Fires,0.0
92,Dar,Fires,0.0
93,Mexico,Fires,0.0
94,Pemba,Fires,0.0
95,UP,Fires,0.0
96,AP,Homicide,0.0
97,Bohol,Homicide,0.0
98,Dar,Homicide,0.0
99,Mexico,Homicide,0.0
100,Pemba,Homicide,0.0
101,UP,Homicide,0.0
102,AP,Leukemia/Lymphomas,0.0
103,Bohol,Leukemia/Lymphomas,0.0
104,Dar,Leukemia/Lymphomas,0.0
105,Mexico,Leukemia/Lymphomas,0.0
106,Pemba,Leukemia/Lymphomas,
107,UP,Leukemia/Lymphomas,0.0
108,AP,Lung Cancer,1.0
109,Bohol,Lung Cancer,0.0
110,Dar,Lung Cancer,0.0
111,Mexico,Lung Cancer,0.0
112,Pemba,Lung Cancer,
113,UP,Lung Cancer,0.0
114,AP,Malaria,0.0
115,Bohol,Malaria,
116,Dar,Malaria,0.0
117,Mexico,Malaria,
118,Pemba,Malaria,0.0
119,UP,Malaria,1.0
120,AP,Maternal,2.0
121,Bohol,Maternal,3.0
122,Dar,Maternal,0.0
123,Mexico,Maternal,0.0
124,Pemba,Maternal,0.0
125,UP,Maternal,1.0
126,AP,Other Cardiovascular Diseases,10.0
127,Bohol,Other Cardiovascular Diseases,9.0
128,Dar,Other Cardiovascular Diseases,0.0
129,Mexico,Other Cardiovascular Diseases,0.0
130,Pemba,Other Cardiovascular Diseases,
131,UP,Other Cardiovascular Diseases,3.0
132,AP,Other Infectious Diseases,1.0
133,Bohol,Other Infectious Diseases,0.0
134,Dar,Other Infectious Diseases,0.0
135,Mexico,Other Infectious Diseases,0.0
136,Pemba,Other Infectious Diseases,0.0
137,UP,Other Infectious Diseases,1.0
138,AP,Other Injuries,0.0
139,Bohol,Other Injuries,0.0
140,Dar,Other Injuries,0.0
141,Mexico,Other Injuries,0.0
142,Pemba,Other Injuries,0.0
143,UP,Other Injuries,0.0
144,AP,Other Non-communicable Diseases,1.0
145,Bohol,Other Non-communicable Diseases,0.0
146,Dar,Other Non-communicable Diseases,0.0
147,Mexico,Other Non-communicable Diseases,0.0
148,Pemba,Other Non-communicable Diseases,0.0
149,UP,Other Non-communicable Diseases,2.0
150,AP,Pneumonia,7.0
151,Bohol,Pneumonia,21.0
152,Dar,Pneumonia,0.0
153,Mexico,Pneumonia,0.0
154,Pemba,Pneumonia,3.0
155,UP,Pneumonia,3.0
156,AP,Poisonings,0.0
157,Bohol,Poisonings,0.0
158,Dar,Poisonings,0.0
159,Mexico,Poisonings,0.0
160,Pemba,Poisonings,0.0
161,UP,Poisonings,0.0
162,AP,Prostate Cancer,0.0
163,Bohol,Prostate Cancer,0.0
164,Dar,Prostate Cancer,0.0
165,Mexico,Prostate Cancer,0.0
166,Pemba,Prostate Cancer,
167,UP,Prostate Cancer,
168,AP,Renal Failure,5.0
169,Bohol,Renal Failure,2.0
170,Dar,Renal Failure,0.0
171,Mexico,Renal Failure,0.0
172,Pemba,Renal Failure,
173,UP,Renal Failure,4.0
174,AP,Road Traffic,0.0
175,Bohol,Road Traffic,0.0
176,Dar,Road Traffic,0.0
177,Mexico,Road Traffic,0.0
178,Pemba,Road Traffic,0.0
179,UP,Road Traffic,0.0
180,AP,Stomach Cancer,0.0
181,Bohol,Stomach Cancer,0.0
182,Dar,Stomach Cancer,0.0
183,Mexico,Stomach Cancer,0.0
184,Pemba,Stomach Cancer,
185,UP,Stomach Cancer,
186,AP,Stroke,5.0
187,Bohol,Stroke,4.0
188,Dar,Stroke,0.0
189,Mexico,Stroke,1.0
190,Pemba,Stroke,
191,UP,Stroke,1.0
192,AP,Suicide,0.0
193,Bohol,Suicide,0.0
194,Dar,Suicide,0.0
195,Mexico,Suicide,0.0
196,Pemba,Suicide,0.0
197,UP,Suicide,0.0
198,AP,TB,15.0
199,Bohol,TB,9.0
200,Dar,TB,0.0
201,Mexico,TB,0.0
202,Pemba,TB,0.0
203,UP,TB,5.0
